"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-07-31 12:45:03","1398567079","DOGEUSDC","Stop-Market","BUY","0","362DOGE","2025-07-31 13:00:05","0DOGE","0","0USDC","CANCELED"
"2025-07-31 12:30:03","1398523167","DOGEUSDC","Stop-Market","BUY","0","330DOGE","2025-07-31 12:45:04","0DOGE","0","0USDC","CANCELED"
"2025-07-31 12:26:01","1398513833","DOGEUSDC","Stop-Market","BUY","0","69DOGE","2025-07-31 12:26:14","69DOGE","0.22147","15.28143USDC","FILLED"
"2025-07-31 12:25:02","2278076777","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 12:26:01","0SOL","0","0USDC","CANCELED"
"2025-07-31 12:25:01","1398511722","DOGEUSDC","Stop-Market","BUY","0","5DOGE","2025-07-31 12:26:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 12:24:02","2278074235","SOLUSDC","Stop-Market","BUY","0","0.038SOL","2025-07-31 12:24:32","0.038SOL","179.91","6.83658USDC","FILLED"
"2025-07-31 12:24:01","1096557135","ADAUSDC","Stop-Market","BUY","0","38.2ADA","2025-07-31 12:24:02","38.2ADA","0.774","29.5668USDC","FILLED"
"2025-07-31 12:23:00","1096555859","ADAUSDC","Stop-Market","BUY","0","30.5ADA","2025-07-31 12:24:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 12:21:01","2278067198","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 12:21:03","0.029SOL","180.05","5.22145USDC","FILLED"
"2025-07-31 12:11:01","1096537895","ADAUSDC","Stop-Market","BUY","0","24.4ADA","2025-07-31 12:11:35","24.4ADA","0.7773","18.96612USDC","FILLED"
"2025-07-31 11:57:02","2278010642","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 11:57:35","0.029SOL","180.58","5.23682USDC","FILLED"
"2025-07-31 11:56:00","2278008171","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 11:57:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 11:55:01","1096517564","ADAUSDC","Stop-Market","BUY","0","104.6ADA","2025-07-31 11:58:36","104.6ADA","0.7783","81.41018USDC","FILLED"
"2025-07-31 11:54:03","2278002471","SOLUSDC","Stop-Market","BUY","0","0.092SOL","2025-07-31 11:54:46","0.092SOL","180.56","16.61152USDC","FILLED"
"2025-07-31 11:53:01","2277996464","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 11:54:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 11:52:01","2277994668","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 11:53:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 11:51:02","2277992955","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 11:52:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 11:50:02","2277991268","SOLUSDC","Stop-Market","BUY","0","0.029SOL","2025-07-31 11:50:03","0.029SOL","180.83","5.24407USDC","FILLED"
"2025-07-31 11:50:01","1096508514","ADAUSDC","Stop-Market","BUY","0","91.2ADA","2025-07-31 11:55:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 11:49:02","2277989072","SOLUSDC","Stop-Market","BUY","0","0.066SOL","2025-07-31 11:49:16","0.066SOL","180.82","11.93412USDC","FILLED"
"2025-07-31 11:48:02","2277988158","SOLUSDC","Stop-Market","BUY","0","0.037SOL","2025-07-31 11:49:02","0SOL","0","0USDC","CANCELED"
"2025-07-31 11:45:02","1096503371","ADAUSDC","Stop-Market","BUY","0","68.6ADA","2025-07-31 11:50:02","0ADA","0","0USDC","CANCELED"
"2025-07-31 11:35:01","1398417893","DOGEUSDC","Stop-Market","BUY","0","202DOGE","2025-07-31 11:35:03","202DOGE","0.22278","45.00156USDC","FILLED"
"2025-07-31 11:33:01","1096489678","ADAUSDC","Stop-Market","BUY","0","16.4ADA","2025-07-31 11:35:07","16.4ADA","0.7804","12.79856USDC","FILLED"
"2025-07-31 11:33:01","1398414643","DOGEUSDC","Stop-Market","BUY","0","11DOGE","2025-07-31 11:35:03","11DOGE","0.22278","2.45058USDC","FILLED"
"2025-07-31 11:30:02","1096486020","ADAUSDC","Stop-Market","BUY","0","121.8ADA","2025-07-31 11:30:04","121.8ADA","0.7793","94.91874USDC","FILLED"
